Hevea brasiliensis, 110655301, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Hevea brasiliensis, 110646506, feruloyl CoA ortho-hydroxylase 2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Hevea brasiliensis, 110652136, feruloyl CoA ortho-hydroxylase 2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Hevea brasiliensis, 110653324, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Hevea brasiliensis, 110653328, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Hevea brasiliensis, 110649460, feruloyl CoA ortho-hydroxylase 2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Hevea brasiliensis, 110642752, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Hevea brasiliensis, 110642753, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Hevea brasiliensis, 110642754, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Hevea brasiliensis, 110642760, feruloyl CoA ortho-hydroxylase 2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Hevea brasiliensis, 110649601, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Hevea brasiliensis, 110667876, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Hevea brasiliensis, 110670101, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Hevea brasiliensis, 110661609, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Hevea brasiliensis, 110652094, scopoletin glucosyltransferase-like isoform X1  [EC], ['EC:2.4.1.128'], KO:K23260
Hevea brasiliensis, 110671769, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Hevea brasiliensis, 110648122, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Hevea brasiliensis, 110663373, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Hevea brasiliensis, 110663374, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Hevea brasiliensis, 110641449, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
