Aegilops tauschii, 109777317, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Aegilops tauschii, 109760180, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109760182, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109749149, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109751238, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109751294, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109757548, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109773166, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109773167, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109773170, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109773175, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109775162, peroxidase 39-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109775203, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109765673, peroxidase 39-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109765675, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109743486, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109743488, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109743490, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109750767, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109749235, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109750245, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109750248, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109750249, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109732865, peroxidase 56-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109766166, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109766168, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109766170, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109774015, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109775247, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109775251, peroxidase 46-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109775580, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109736533, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109736543, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109736544, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109736545, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109736587, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109736588, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109733839, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109760325, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109748240, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109748241, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109754536, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109760812, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109774025, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109774026, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109769471, peroxidase  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109769474, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109769531, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109775654, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109775663, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109733229, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109747575, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109747636, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109765418, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109761513, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109764640, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109765591, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109742106, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109766658, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109767545, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109756816, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109778226, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Aegilops tauschii, 109763347, 4-hydroxy-7-methoxy-3-oxo-3,4-dihydro-2H-1, 4-benzoxazin-2-yl glucoside beta-D-glucosidase 1c, chloroplastic  [EC], ['EC:3.2.1.21'], KO:K01188
Aegilops tauschii, 109731643, beta-glucosidase 6 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Aegilops tauschii, 109733550, beta-glucosidase 24-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Aegilops tauschii, 109742734, beta-glucosidase 25 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Aegilops tauschii, 109762056, beta-glucosidase 32-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Aegilops tauschii, 109762064, beta-glucosidase 31-like  [EC], ['EC:3.2.1.21'], KO:K01188
Aegilops tauschii, 109762067, beta-glucosidase 31-like  [EC], ['EC:3.2.1.21'], KO:K01188
Aegilops tauschii, 109762068, beta-glucosidase 31-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Aegilops tauschii, 109767240, beta-glucosidase 34-like  [EC], ['EC:3.2.1.21'], KO:K01188
Aegilops tauschii, 109771219, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Aegilops tauschii, 109771504, beta-glucosidase 22-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Aegilops tauschii, 109786352, beta-glucosidase 4  [EC], ['EC:3.2.1.21'], KO:K01188
Aegilops tauschii, 109740315, uncharacterized protein LOC109740315  [EC], ['EC:3.2.1.21'], KO:K05349
Aegilops tauschii, 109772565, uncharacterized protein LOC109772565  [EC], ['EC:3.2.1.21'], KO:K05349
Aegilops tauschii, 109733563, uncharacterized protein LOC109733563 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Aegilops tauschii, 109736825, uncharacterized protein LOC109736825 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Aegilops tauschii, 109757094, uncharacterized protein LOC109757094  [EC], ['EC:3.2.1.21'], KO:K05349
Aegilops tauschii, 109755471, uncharacterized protein LOC109755471  [EC], ['EC:3.2.1.21'], KO:K05349
Aegilops tauschii, 109745611, uncharacterized protein LOC109745611  [EC], ['EC:3.2.1.21'], KO:K05349
Aegilops tauschii, 109745612, uncharacterized protein LOC109745612  [EC], ['EC:3.2.1.21'], KO:K05349
Aegilops tauschii, 109745613, uncharacterized protein LOC109745613  [EC], ['EC:3.2.1.21'], KO:K05349
Aegilops tauschii, 109745616, uncharacterized protein LOC109745616  [EC], ['EC:3.2.1.21'], KO:K05349
Aegilops tauschii, 109777228, beta-glucosidase 16-like  [EC], ['EC:3.2.1.21'], KO:K05350
Aegilops tauschii, 109739841, probable inactive beta-glucosidase 14 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Aegilops tauschii, 109758908, beta-glucosidase 7-like  [EC], ['EC:3.2.1.21'], KO:K05350
Aegilops tauschii, 109751652, beta-glucosidase 38-like  [EC], ['EC:3.2.1.21'], KO:K05350
Aegilops tauschii, 109774204, beta-glucosidase 26-like  [EC], ['EC:3.2.1.21'], KO:K05350
Aegilops tauschii, 109768845, beta-glucosidase 26-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Aegilops tauschii, 109759723, beta-glucosidase 16-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Aegilops tauschii, 109741190, beta-glucosidase 38-like  [EC], ['EC:3.2.1.21'], KO:K05350
Aegilops tauschii, 109741191, beta-glucosidase 38-like  [EC], ['EC:3.2.1.21'], KO:K05350
Aegilops tauschii, 109768548, beta-glucosidase 16-like  [EC], ['EC:3.2.1.21'], KO:K05350
Aegilops tauschii, 109741564, beta-glucosidase 8-like  [EC], ['EC:3.2.1.21'], KO:K05350
Aegilops tauschii, 109741565, beta-glucosidase 7  [EC], ['EC:3.2.1.21'], KO:K05350
Aegilops tauschii, 109746671, anthocyanin 3'-O-beta-glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Aegilops tauschii, 109750952, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Aegilops tauschii, 109783438, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Aegilops tauschii, 109746679, anthocyanin 3'-O-beta-glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Aegilops tauschii, 109745759, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
