Glycine soja, 114371207, phenylalanine ammonia-lyase 2-like isoform X1  [EC], ['EC:4.3.1.24'], KO:K10775
Glycine soja, 114390356, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114383225, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114390397, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114405935, UDP-glycosyltransferase 72D1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Glycine soja, 114405936, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Glycine soja, 114405937, UDP-glycosyltransferase 72D1-like isoform X1  [EC], ['EC:2.4.1.111'], KO:K12356
Glycine soja, 114420936, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Glycine soja, 114416852, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Glycine soja, 114375019, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Glycine soja, 114368065, beta-glucosidase 24-like  [EC], ['EC:3.2.1.21'], KO:K01188
Glycine soja, 114374287, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Glycine soja, 114374511, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Glycine soja, 114374969, beta-glucosidase 13-like  [EC], ['EC:3.2.1.21'], KO:K01188
Glycine soja, 114376135, beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Glycine soja, 114376228, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Glycine soja, 114376229, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Glycine soja, 114376231, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Glycine soja, 114378295, non-cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Glycine soja, 114378593, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Glycine soja, 114379397, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Glycine soja, 114379398, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Glycine soja, 114379400, cyanogenic beta-glucosidase-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Glycine soja, 114379401, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Glycine soja, 114379402, cyanogenic beta-glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K01188
Glycine soja, 114379403, cyanogenic beta-glucosidase-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Glycine soja, 114379888, beta-glucosidase 13-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Glycine soja, 114387507, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Glycine soja, 114387925, beta-glucosidase 12-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Glycine soja, 114389573, beta-glucosidase 11-like  [EC], ['EC:3.2.1.21'], KO:K01188
Glycine soja, 114403786, beta-glucosidase 40-like  [EC], ['EC:3.2.1.21'], KO:K01188
Glycine soja, 114417009, beta-glucosidase 25 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Glycine soja, 114419083, beta-glucosidase 11-like  [EC], ['EC:3.2.1.21'], KO:K01188
Glycine soja, 114421975, beta-glucosidase 12-like  [EC], ['EC:3.2.1.21'], KO:K01188
Glycine soja, 114425062, beta-glucosidase 40-like  [EC], ['EC:3.2.1.21'], KO:K01188
Glycine soja, 114396485, uncharacterized protein LOC114396485  [EC], ['EC:3.2.1.21'], KO:K05349
Glycine soja, 114398238, uncharacterized protein LOC114398238  [EC], ['EC:3.2.1.21'], KO:K05349
Glycine soja, 114400463, uncharacterized protein LOC114400463 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Glycine soja, 114400567, uncharacterized protein LOC114400567  [EC], ['EC:3.2.1.21'], KO:K05349
Glycine soja, 114383032, uncharacterized protein LOC114383032 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Glycine soja, 114388416, uncharacterized protein LOC114388416  [EC], ['EC:3.2.1.21'], KO:K05349
Glycine soja, 114389097, uncharacterized protein LOC114389097  [EC], ['EC:3.2.1.21'], KO:K05349
Glycine soja, 114377488, uncharacterized protein LOC114377488 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Glycine soja, 114371933, uncharacterized protein LOC114371933  [EC], ['EC:3.2.1.21'], KO:K05349
Glycine soja, 114368593, uncharacterized protein LOC114368593  [EC], ['EC:3.2.1.21'], KO:K05349
Glycine soja, 114390976, uncharacterized protein LOC114390976  [EC], ['EC:3.2.1.21'], KO:K05349
Glycine soja, 114392824, uncharacterized protein LOC114392824  [EC], ['EC:3.2.1.21'], KO:K05349
Glycine soja, 114418660, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Glycine soja, 114420150, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Glycine soja, 114420154, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Glycine soja, 114388138, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Glycine soja, 114368790, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Glycine soja, 114374944, beta-glucosidase 18-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Glycine soja, 114374945, beta-glucosidase 18-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Glycine soja, 114380374, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Glycine soja, 114380375, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Glycine soja, 114397605, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Glycine soja, 114406404, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Glycine soja, 114418863, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Glycine soja, 114420112, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Glycine soja, 114386261, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Glycine soja, 114386267, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Glycine soja, 114372513, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Glycine soja, 114386289, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Glycine soja, 114375342, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Glycine soja, 114370817, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Glycine soja, 114393078, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
