Helianthus annuus, 110868345, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Helianthus annuus, 110919506, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110925999, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110936264, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110936266, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110942469, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110941423, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110936635, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110936803, peroxidase 5-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110944018, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110944044, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110939351, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110939633, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110941025, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110942325, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Helianthus annuus, 110866793, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Helianthus annuus, 110867451, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Helianthus annuus, 110877324, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Helianthus annuus, 110940441, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Helianthus annuus, 110877327, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Helianthus annuus, 110910115, beta-glucosidase 11-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Helianthus annuus, 110868024, uncharacterized protein LOC110868024  [EC], ['EC:3.2.1.21'], KO:K05349
Helianthus annuus, 110868418, uncharacterized protein LOC110868418 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Helianthus annuus, 110868419, uncharacterized protein LOC110868419  [EC], ['EC:3.2.1.21'], KO:K05349
Helianthus annuus, 110868490, uncharacterized protein LOC110868490  [EC], ['EC:3.2.1.21'], KO:K05349
Helianthus annuus, 110868493, uncharacterized protein LOC110868493  [EC], ['EC:3.2.1.21'], KO:K05349
Helianthus annuus, 110868602, uncharacterized protein LOC110868602  [EC], ['EC:3.2.1.21'], KO:K05349
Helianthus annuus, 110868609, uncharacterized protein LOC110868609  [EC], ['EC:3.2.1.21'], KO:K05349
Helianthus annuus, 110868408, uncharacterized protein LOC110868408 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Helianthus annuus, 110880460, uncharacterized protein LOC110880460  [EC], ['EC:3.2.1.21'], KO:K05349
Helianthus annuus, 110880471, uncharacterized protein LOC110880471  [EC], ['EC:3.2.1.21'], KO:K05349
Helianthus annuus, 110889537, uncharacterized protein LOC110889537 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Helianthus annuus, 110880506, uncharacterized protein LOC110880506  [EC], ['EC:3.2.1.21'], KO:K05349
Helianthus annuus, 110891083, uncharacterized protein LOC110891083 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Helianthus annuus, 110910450, uncharacterized protein LOC110910450  [EC], ['EC:3.2.1.21'], KO:K05349
Helianthus annuus, 110904334, uncharacterized protein LOC110904334  [EC], ['EC:3.2.1.21'], KO:K05349
Helianthus annuus, 110904336, uncharacterized protein LOC110904336  [EC], ['EC:3.2.1.21'], KO:K05349
Helianthus annuus, 110924931, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Helianthus annuus, 110889634, beta-glucosidase 18-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Helianthus annuus, 110872435, beta-glucosidase 18-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Helianthus annuus, 110912845, beta-glucosidase 18-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Helianthus annuus, 110929923, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Helianthus annuus, 110929924, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Helianthus annuus, 110932195, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Helianthus annuus, 110915717, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Helianthus annuus, 110935535, beta-glucosidase 18-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Helianthus annuus, 110935536, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Helianthus annuus, 110935541, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Helianthus annuus, 110930523, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Helianthus annuus, 110916552, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Helianthus annuus, 110941647, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Helianthus annuus, 110927168, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Helianthus annuus, 110903519, feruloyl CoA ortho-hydroxylase 2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Helianthus annuus, 110898740, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Helianthus annuus, 110901341, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Helianthus annuus, 110903006, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Helianthus annuus, 110890716, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Helianthus annuus, 110887178, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Helianthus annuus, 110885632, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Helianthus annuus, 110885633, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Helianthus annuus, 110885649, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
