Brassica napus, 106371449, uncharacterized protein LOC106371449  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica napus, 106443611, peroxidase 22  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106443612, peroxidase 22-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106443747, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106443752, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106443558, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106443589, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106443875, peroxidase 28-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106444726, peroxidase 45  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106430532, peroxidase C2  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106435511, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106398523, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106449000, peroxidase C3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106443905, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106444068, peroxidase 58  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106444069, peroxidase 58  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106444070, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106444399, peroxidase 41  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106444912, peroxidase 34-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106436473, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106454854, peroxidase 36-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106442977, peroxidase 52-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106442978, peroxidase 52-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106440671, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106440867, peroxidase 44-like isoform X2  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106450340, peroxidase 28  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106423244, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106423697, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106441062, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106435027, peroxidase 30  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106433084, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106429918, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106436114, peroxidase 22-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106436115, peroxidase 22-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106441230, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106444626, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106449535, peroxidase 30  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106446130, peroxidase 63  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106425524, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106425854, peroxidase 69-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106425864, peroxidase 69-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106449128, peroxidase 39  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106449371, peroxidase 67-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106423840, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106433547, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106431410, peroxidase 18-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106453998, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106447397, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106447672, peroxidase C3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106454748, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106435636, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106432511, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106448154, peroxidase 69-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106435766, peroxidase 68-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106402368, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106447805, peroxidase 34  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106376204, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106436645, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106391465, peroxidase 63-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106425750, peroxidase 58  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106427253, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106426871, peroxidase 50 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106428441, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106372952, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106372244, peroxidase 45  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106372235, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106374260, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106374320, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106376062, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106376069, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106376904, peroxidase 30  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106372135, peroxidase 56-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106372140, peroxidase 56  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106375482, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106375622, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106377689, peroxidase 62-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106371591, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106376694, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106376695, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106379205, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106379206, peroxidase 58-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106379215, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106379250, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106371780, peroxidase 58 isoform X2  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106381001, peroxidase 66 isoform X2  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106381085, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106381437, peroxidase 58-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106381638, peroxidase 15  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106381647, peroxidase 15  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106381818, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106382151, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106383747, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106384338, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106391590, peroxidase 50 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106386290, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106385033, peroxidase 34-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106393118, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106386691, peroxidase 68-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106394859, peroxidase 18-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106395223, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106397920, peroxidase 36  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106399940, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106394722, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106395614, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106396284, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106400072, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106400076, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106391502, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106399869, peroxidase 65  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106392662, peroxidase 21 isoform X2  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106394298, peroxidase 13-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106397121, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106397323, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106402235, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106402043, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106402051, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106404936, peroxidase 71-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106403148, peroxidase C3  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106403164, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106404708, peroxidase 30-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106404880, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106405082, peroxidase 62 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106402879, peroxidase C3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106402880, peroxidase C3  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106419094, peroxidase P7 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106422139, peroxidase 37 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106409861, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106420404, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106422050, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106409336, peroxidase 49-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106409379, peroxidase 45  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106409745, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106411914, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106412137, peroxidase 73  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106418047, peroxidase 65  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106418680, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106419020, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106410977, peroxidase 32-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106411182, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106411786, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106416499, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106420072, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106420000, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106420046, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106420069, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106417473, peroxidase 67-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106419225, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106417728, peroxidase 67-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106417749, peroxidase 67-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106407007, peroxidase 50  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106414500, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106422351, peroxidase 39  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106410063, peroxidase 22-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106407654, peroxidase 44  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 111202982, peroxidase 6-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 111214600, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 111214601, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 111214692, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 111207238, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 111201287, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 111213093, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 111205063, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 111205825, peroxidase C3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 111213385, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 111213387, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 111197941, peroxidase 56  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 111201481, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 111205886, peroxidase 19-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 111199508, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 111198839, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 111213831, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica napus, 106351495, UDP-glycosyltransferase 72E3-like  [EC], ['EC:2.4.1.111'], KO:K12356
Brassica napus, 106357659, UDP-glycosyltransferase 72E2-like  [EC], ['EC:2.4.1.111'], KO:K12356
Brassica napus, 106364155, UDP-glycosyltransferase 72E2-like  [EC], ['EC:2.4.1.111'], KO:K12356
Brassica napus, 106425653, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Brassica napus, 106444312, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Brassica napus, 106440007, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Brassica napus, 106425662, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Brassica napus, 106374573, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Brassica napus, 106376570, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Brassica napus, 106395122, UDP-glycosyltransferase 72E3-like  [EC], ['EC:2.4.1.111'], KO:K12356
Brassica napus, 106356363, UDP-glycosyltransferase 72D1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Brassica napus, 106351951, UDP-glycosyltransferase 72D1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Brassica napus, 106356156, UDP-glycosyltransferase 72D1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Brassica napus, 106369801, UDP-glycosyltransferase 72C1  [EC], ['EC:2.4.1.111'], KO:K12356
Brassica napus, 106406691, UDP-glycosyltransferase 84A2 isoform X1  [EC], ['EC:2.4.1.120'], KO:K13068
Brassica napus, 106445998, UDP-glycosyltransferase 84A2  [EC], ['EC:2.4.1.120'], KO:K13068
Brassica napus, 106454906, UDP-glycosyltransferase 84A2 isoform X1  [EC], ['EC:2.4.1.120'], KO:K13068
Brassica napus, 106382940, serine carboxypeptidase-like 19  [EC], ['EC:3.4.16.-', 'EC:2.3.1.91'], KO:K09756
Brassica napus, 106346577, beta-glucosidase 42-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106347125, LOW QUALITY PROTEIN: beta-glucosidase 40-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106353132, beta-glucosidase 16-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106355612, beta-glucosidase 16-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106356759, beta-glucosidase 23-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106368404, beta-glucosidase 30-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106368405, beta-glucosidase 16-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106368407, beta-glucosidase 16 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106368408, beta-glucosidase 27  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106375305, beta-glucosidase 30-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106375306, beta-glucosidase 27-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106376373, beta-glucosidase 10-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106376923, beta-glucosidase 19 precursor  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106379740, beta-glucosidase 23  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106391008, beta-glucosidase 15-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106391086, beta-glucosidase 15-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106391159, beta-glucosidase 29 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106391383, beta-glucosidase 42-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106391800, beta-glucosidase 15-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106392344, beta-glucosidase 27-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106392351, beta-glucosidase 15-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106392366, beta-glucosidase 27-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106392489, beta-glucosidase 28-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106394900, beta-glucosidase 31  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106394955, beta-glucosidase 27-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106394971, beta-glucosidase 28-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106395827, beta-glucosidase 31 isoform X2  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106396370, beta-glucosidase 26, peroxisomal  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106396396, beta-glucosidase 26, peroxisomal  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106396737, beta-glucosidase 15-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106396850, beta-glucosidase 15-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106396851, beta-glucosidase 15-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106399638, beta-glucosidase 13-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106401743, beta-glucosidase 40-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106403844, beta-glucosidase 16-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106411064, beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106412061, beta-glucosidase 27-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106412194, beta-glucosidase 30  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106415266, beta-glucosidase 10-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106415267, beta-glucosidase 10-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106420486, beta-glucosidase 10-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106420487, beta-glucosidase 10-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106422467, beta-glucosidase 20  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106423114, putative beta-glucosidase 41  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106425552, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106426237, beta-glucosidase 27-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106427388, beta-glucosidase 15-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106427892, beta-glucosidase 23  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106429220, beta-glucosidase 27-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106429228, beta-glucosidase 28-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106429256, beta-glucosidase 32 isoform X2  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106429289, beta-glucosidase 15 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106433092, LOW QUALITY PROTEIN: probable inactive beta-glucosidase 25  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106439208, beta-glucosidase 23  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106444967, beta-glucosidase 10-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106444968, beta-glucosidase 10-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106445112, beta-glucosidase 30  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106445113, beta-glucosidase 16 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106445114, beta-glucosidase 27  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106446946, beta-glucosidase 15-like isoform X2  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106446949, beta-glucosidase 15-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106450236, beta-glucosidase 15-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106450792, beta-glucosidase 26, peroxisomal  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106452829, beta-glucosidase 23-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106454579, beta-glucosidase 27-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106454945, beta-glucosidase 42 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 111199811, beta-glucosidase 40-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 111206403, beta-glucosidase 20-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 111213181, probable inactive beta-glucosidase 25  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 111215195, beta-glucosidase 15-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 111215427, beta-glucosidase 28-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106435893, beta-glucosidase 3-like  [EC], ['EC:3.2.1.21'], KO:K01188
Brassica napus, 106347568, uncharacterized protein LOC106347568  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica napus, 106347569, uncharacterized protein LOC106347569  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica napus, 106355648, uncharacterized protein LOC106355648  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica napus, 106352732, uncharacterized protein LOC106352732  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica napus, 106352733, uncharacterized protein LOC106352733  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica napus, 106352738, uncharacterized protein LOC106352738  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica napus, 106358542, uncharacterized protein LOC106358542  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica napus, 106371702, uncharacterized protein LOC106371702  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica napus, 106440633, uncharacterized protein LOC106440633 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica napus, 106428191, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica napus, 106434981, uncharacterized protein LOC106434981  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica napus, 106425725, uncharacterized protein LOC106425725  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica napus, 106374986, uncharacterized protein LOC106374986  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica napus, 106376363, uncharacterized protein LOC106376363  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica napus, 106376371, uncharacterized protein LOC106376371  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica napus, 106376413, uncharacterized protein LOC106376413  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica napus, 106382995, uncharacterized protein LOC106382995  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica napus, 106386981, uncharacterized protein LOC106386981 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica napus, 106421218, uncharacterized protein LOC106421218  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica napus, 106419470, uncharacterized protein LOC106419470 isoform X2  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica napus, 106413118, uncharacterized protein LOC106413118  [EC], ['EC:3.2.1.21'], KO:K05349
Brassica napus, 106347230, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Brassica napus, 111197881, beta-glucosidase 43 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Brassica napus, 106347238, beta-glucosidase 44 isoform X2  [EC], ['EC:3.2.1.21'], KO:K05350
Brassica napus, 106347900, LOW QUALITY PROTEIN: beta-glucosidase 47  [EC], ['EC:3.2.1.21'], KO:K05350
