Ipomoea nil, 109187876, phenylalanine ammonia-lyase G4-like  [EC], ['EC:4.3.1.24'], KO:K10775
Ipomoea nil, 109191663, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Ipomoea nil, 109191669, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Ipomoea nil, 109181392, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Ipomoea nil, 109173889, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Ipomoea nil, 109163575, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Ipomoea nil, 109193047, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Ipomoea nil, 109193075, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Ipomoea nil, 109193076, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Ipomoea nil, 109163158, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Ipomoea nil, 109163160, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Ipomoea nil, 109175775, beta-glucosidase 1-like  [EC], ['EC:3.2.1.21'], KO:K05350
Ipomoea nil, 109164899, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Ipomoea nil, 109150199, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Ipomoea nil, 109167266, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Ipomoea nil, 109150703, beta-glucosidase 1-like  [EC], ['EC:3.2.1.21'], KO:K05350
Ipomoea nil, 109178354, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Ipomoea nil, 109167928, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Ipomoea nil, 109167931, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Ipomoea nil, 109171382, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Ipomoea nil, 109171383, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Ipomoea nil, 109160283, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61', 'EC:1.14.11.62'], KO:K23378
Ipomoea nil, 109160284, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61', 'EC:1.14.11.62'], KO:K23378
Ipomoea nil, 109160285, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61', 'EC:1.14.11.62'], KO:K23378
Ipomoea nil, 109160336, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61', 'EC:1.14.11.62'], KO:K23378
Ipomoea nil, 109160335, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61', 'EC:1.14.11.62'], KO:K23378
Ipomoea nil, 109159769, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Ipomoea nil, 109192759, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Ipomoea nil, 109152302, feruloyl CoA ortho-hydroxylase 2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Ipomoea nil, 109152304, feruloyl CoA ortho-hydroxylase 2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Ipomoea nil, 109152305, feruloyl CoA ortho-hydroxylase 2-like  [EC], ['EC:1.14.11.61'], KO:K06892
Ipomoea nil, 109152306, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Ipomoea nil, 109192940, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Ipomoea nil, 109152436, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Ipomoea nil, 109152437, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Ipomoea nil, 109162104, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Ipomoea nil, 109184284, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Ipomoea nil, 109161270, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Ipomoea nil, 109161374, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Ipomoea nil, 109161375, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Ipomoea nil, 109161376, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Ipomoea nil, 109161575, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
